district_encoded,district_name,state
522,Pherzawl,Meghalaya
523,Pilibhit,Uttarakhand
524,Pithoragarh,Uttarakhand
525,Poonch,Jammu And Kashmir
526,Porbandar,Gujarat
527,Prakasam,Andhra Pradesh
528,Pratapgarh,Uttar Pradesh
529,Prayagraj,Uttar Pradesh
530,Puducherry,Puducherry
531,Pudukkottai,Tamil Nadu
532,Pulwama,Jammu And Kashmir
533,Pune,Maharashtra
534,Purba Bardhaman,Assam
535,Purba Medinipur,West Bengal
536,Purbi Champaran,Uttar Pradesh
537,Puri,Odisha
538,Purnia,Uttar Pradesh
539,Purulia,West Bengal
540,Rae Bareli,Uttar Pradesh
541,Raichur,Tamil Nadu
542,Raigad,Maharashtra
543,Raigarh,Rajasthan
544,Raipur,Uttar Pradesh
545,Raisen,Madhya Pradesh
546,Rajgarh,Rajasthan
547,Rajkot,Gujarat
548,Rajnandgaon,Madhya Pradesh
549,Rajouri,Jammu And Kashmir
550,Rajsamand,Rajasthan
551,Ramanagara,Uttar Pradesh
552,Ramanathapuram,Tamil Nadu
553,Ramban,Jammu And Kashmir
554,Ramgarh,Jharkhand
555,Rampur,Uttarakhand
556,Ranchi,Jharkhand
557,Ranga Reddy,Andhra Pradesh
558,Ranipet,Karnataka
559,Ratlam,Madhya Pradesh
560,Ratnagiri,Maharashtra
561,Rayagada,Odisha
562,Reasi,Jammu And Kashmir
563,Rewa,Madhya Pradesh
564,Rewari,Delhi
565,Ri Bhoi,Uttar Pradesh
566,Rohtak,Haryana
567,Rohtas,Uttar Pradesh
568,Rudra Prayag,Uttarakhand
569,Rupnagar,Chandigarh
570,S.A.S Nagar,Chandigarh
571,Sabar Kantha,Gujarat
572,Sagar,Rajasthan
573,Saharanpur,Uttarakhand
574,Saharsa,Uttar Pradesh
575,Sahebganj,Jharkhand
576,Saitual,Maharashtra
577,Salem,Tamil Nadu
578,Salumbar,Karnataka
579,Samastipur,West Bengal
580,Samba,Jammu And Kashmir
581,Sambalpur,Uttar Pradesh
582,Sambhal,Uttar Pradesh
583,Sangareddy,Telangana
584,Sangli,Maharashtra
585,Sangrur,Punjab
586,Sant Kabir Nagar,Uttar Pradesh
587,Saraikela Kharsawan,Jharkhand
588,Saran,Uttar Pradesh
589,Satara,Andhra Pradesh
590,Satna,Uttar Pradesh
591,Sawai Madhopur,Rajasthan
592,Sehore,Madhya Pradesh
593,Senapati,Manipur
594,Seoni,Madhya Pradesh
595,Sepahijala,Tripura
596,Serchhip,Mizoram
597,Shahdara,Delhi
598,Shahdol,Madhya Pradesh
599,Shahid Bhagat Singh Nagar,Chandigarh
600,Shahjahanpur,Uttar Pradesh
601,Shajapur,Madhya Pradesh
602,Shamator,Delhi
603,Shamli,Haryana
604,Sheikhpura,West Bengal
605,Sheohar,Bihar
606,Sheopur,Madhya Pradesh
607,Shi Yomi,Telangana
608,Shimla,Himachal Pradesh
609,Shivamogga,Karnataka
610,Shivpuri,Madhya Pradesh
611,Shopian,Jammu And Kashmir
612,Shrawasti,Uttar Pradesh
613,Siaha,Tripura
614,Siang,Meghalaya
615,Siddharthnagar,Uttar Pradesh
616,Siddipet,Telangana
617,Sidhi,Uttar Pradesh
618,Sikar,Uttar Pradesh
619,Simdega,Jharkhand
620,Sindhudurg,Karnataka
621,Singrauli,Uttar Pradesh
622,Sirmaur,Uttar Pradesh
623,Sirohi,Rajasthan
624,Sirsa,Haryana
625,Sitamarhi,Bihar
626,Sitapur,Uttar Pradesh
627,Sivaganga,Tamil Nadu
628,Sivasagar,Assam
629,Siwan,Uttar Pradesh
630,Solan,Maharashtra
631,Solapur,Maharashtra
632,Sonbhadra,Uttar Pradesh
633,Sonipat,Haryana
634,Sonitpur,Assam
635,Soreng,West Bengal
636,South,Delhi
637,South 24 Parganas,West Bengal
638,South Andamans,Andaman And Nicobar Islands
639,South East,Delhi
640,South Garo Hills,Meghalaya
641,South Goa,Goa
642,South Salmara Mancachar,Assam
643,South Tripura,Tripura
644,South West,Delhi
645,South West Garo Hills,Meghalaya
646,South West Khasi Hills,Assam
647,Sri Muktsar Sahib,Punjab
648,Sri Potti Sriramulu Nellore,Andhra Pradesh
649,Sri Sathya Sai,Uttar Pradesh
650,Srikakulam,Andhra Pradesh
651,Srinagar,Jammu And Kashmir
652,Sukma,Chhattisgarh
653,Sultanpur,Uttar Pradesh
654,Sundargarh,Odisha
655,Supaul,Bihar
